IND003[DtOperacao],IND003[CodigoEmpresa],IND003[Estabelecimento],IND003[KmRodado],IND003[Ônibus],IND003[LinhaCodigo],IND003[OIDBem],IND003[DtFabricacao],IND003[DESCRICAO.1],IND003[LinhaDescricao],IND003[CentroCusto],IND003[AnoFabricação],IND003[Meses Rodando],IND003[NomeEmpresa]
2023-01-11,2,2,439,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-31,2,2,78,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-29,2,2,182,31268,F14,79BC092B18D4,2014-10-20,CB Frota,SANTA MARIA,Comum,2014,135,Nobel
2023-01-03,2,2,316,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-17,2,2,545,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-06,2,2,475,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-18,2,2,216,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-25,2,2,548,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-24,2,2,548,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-02,2,2,547,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-13,2,2,547,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-26,2,2,548,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-27,2,2,547,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-31,2,2,548,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-04,2,2,552,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-11,2,2,549,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-09,2,2,532,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-28,2,2,490,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-29,2,2,489,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-19,2,2,549,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-21,2,2,20,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-16,2,2,550,31263,F25,99C8A38951DA,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-20,2,2,153,31251,F25,F99C866B07C8,2014-10-20,CB Frota,JARDIM VENEZA,Comum,2014,135,Nobel
2023-01-26,2,2,60,31254,F30,7ABDD91CE030,2014-10-20,CB Frota,GRALHA AZUL II,Comum,2014,135,Nobel
2023-01-26,2,2,94,31268,F30,79BC092B18D4,2014-10-20,CB Frota,GRALHA AZUL II,Comum,2014,135,Nobel
2023-01-21,2,2,39,31252,F30,4D3253744A27,2014-10-20,CB Frota,GRALHA AZUL II,Comum,2014,135,Nobel
2023-01-18,2,2,21,31263,F30,99C8A38951DA,2014-10-20,CB Frota,GRALHA AZUL II,Comum,2014,135,Nobel
2023-01-19,2,2,60,31271,F30,1D6F6A98B5FA,2014-10-20,CB Frota,GRALHA AZUL II,Comum,2014,135,Nobel
2023-01-30,2,2,172,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-01,2,2,216,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-08,2,2,218,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-16,2,2,372,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-18,2,2,372,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-25,2,2,372,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-19,2,2,372,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-02,2,2,369,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-26,2,2,372,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-27,2,2,371,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-23,2,2,115,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-20,2,2,373,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-21,2,2,350,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-04,2,2,370,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-05,2,2,371,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-03,2,2,369,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-31,2,2,372,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-22,2,2,160,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-29,2,2,217,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-17,2,2,371,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-28,2,2,349,31267,F15,0627C6B1E1B0,2014-10-20,CB Frota,GRALHA AZUL,Comum,2014,135,Nobel
2023-01-12,2,2,35,31263,F16,99C8A38951DA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-05,2,2,152,31261,F16,A96D39767527,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-04,2,2,232,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-09,2,2,264,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-02,2,2,264,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-06,2,2,191,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-16,2,2,87,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-17,2,2,126,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-10,2,2,35,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-23,2,2,264,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-11,2,2,127,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-12,2,2,68,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-27,2,2,263,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-03,2,2,126,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-30,2,2,264,31254,F16,7ABDD91CE030,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-11,2,2,264,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-13,2,2,262,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-15,2,2,365,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-28,2,2,199,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-07,2,2,209,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-08,2,2,367,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-25,2,2,74,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-04,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-24,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-30,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-17,2,2,262,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-26,2,2,264,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-12,2,2,168,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-21,2,2,106,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-22,2,2,369,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-23,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-03,2,2,262,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-02,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-09,2,2,262,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-16,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-05,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-06,2,2,262,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-20,2,2,263,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-27,2,2,262,31271,F16,1D6F6A98B5FA,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-10,2,2,180,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-12,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-27,2,2,191,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-09,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-06,2,2,193,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-16,2,2,34,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-23,2,2,190,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-31,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-13,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-03,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-04,2,2,193,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-17,2,2,191,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-24,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-20,2,2,193,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-18,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-28,2,2,66,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-11,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-02,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-30,2,2,190,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-19,2,2,190,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-21,2,2,65,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-26,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-25,2,2,192,31253,F16,2952136371A2,2014-10-20,CB Frota,NAÇÕES I,Comum,2014,135,Nobel
2023-01-06,2,2,36,31267,F12,0627C6B1E1B0,2014-10-20,CB Frota,IGUAÇU I,Comum,2014,135,Nobel
2023-01-09,2,2,39,31267,F22,0627C6B1E1B0,2014-10-20,CB Frota,NAÇÕES II,Comum,2014,135,Nobel
2023-01-12,2,2,73,31271,F19,1D6F6A98B5FA,2014-10-20,CB Frota,SANTA TEREZINHA,Comum,2014,135,Nobel
2023-01-18,2,2,127,31271,F26,1D6F6A98B5FA,2014-10-20,CB Frota,SANTA TEREZINHA II,Comum,2014,135,Nobel
2023-01-07,2,2,19,31268,MD3,79BC092B18D4,2014-10-20,CB Frota,MADRUGUEIRO III,Comum,2014,135,Nobel
2023-01-30,2,2,38,31268,F22,79BC092B18D4,2014-10-20,CB Frota,NAÇÕES II,Comum,2014,135,Nobel
2023-01-07,2,2,156,31268,F19,79BC092B18D4,2014-10-20,CB Frota,SANTA TEREZINHA,Comum,2014,135,Nobel
2023-01-28,2,2,19,31268,MD3,79BC092B18D4,2014-10-20,CB Frota,MADRUGUEIRO III,Comum,2014,135,Nobel
2023-01-25,2,2,80,31268,F24,79BC092B18D4,2014-10-20,CB Frota,EUCALIPTOS II,Comum,2014,135,Nobel
2023-01-24,2,2,81,31268,F26,79BC092B18D4,2014-10-20,CB Frota,SANTA TEREZINHA II,Comum,2014,135,Nobel
2023-01-07,2,2,7,31268,F22,79BC092B18D4,2014-10-20,CB Frota,NAÇÕES II,Comum,2014,135,Nobel
2023-01-29,2,2,20,31268,MD2,79BC092B18D4,2014-10-20,CB Frota,MADRUGUEIRO II,Comum,2014,135,Nobel
2023-01-18,2,2,79,31254,F24,7ABDD91CE030,2014-10-20,CB Frota,EUCALIPTOS II,Comum,2014,135,Nobel
2023-01-20,2,2,96,31254,F32,7ABDD91CE030,2014-10-20,CB Frota,JARDIM BRASIL,Comum,2014,135,Nobel
