MANT001[Dtemissao],MANT001[DetalhesServiço],MANT001[OIDDocumento],MANT001[CodigoEmpresa],MANT001[DtSituacao],MANT001[HrSituacao],MANT001[DtOcorrencia],MANT001[HrOcorrencia],MANT001[Numero],MANT001[Turno],MANT001[DescriçãoDocumento],MANT001[TipoDocumento],MANT001[NomePessoaResposável],MANT001[SituaçãoDocumento],MANT001[OIDBem],MANT001[Descricao],MANT001[NomeEmpresa],MANT001[HoraInicio],MANT001[Ônibus]
2023-01-16,Quebra no Trajeto Ida,FF5CF06C612C,2,2023-01-25,11:06:33,2023-01-16,06:44:00,55893.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Silvonei Marcos Tedeschi,Liquidado,2952136371A2,31253,Nobel,,31253
2023-01-15,no Terminal - por falha mecânica,442702483B97,1,2023-01-25,15:07:16,2023-01-15,06:30:00,95660.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Silvonei Marcos Tedeschi,Liquidado,4E7BDB26C3FB,15424,Leblon,,15424
2023-01-03,na Garagem por Veículo Parado Manutenção,B1F7B8597C57,2,2024-04-17,15:56:21,2024-04-04,04:55:00,55766.0,Noite,Ocorrência de Manutenção,Ocorrência de Manutenção,Edilson Viana,Liquidado,C3E24EF87548,31047,Nobel,,31047
2023-01-26,na Garagem por falha mecânica,1067E8A31616,2,2023-03-03,07:57:41,2023-01-26,16:54:00,55997.0,Tarde,Ocorrência de Manutenção,Ocorrência de Manutenção,Joao Henrique Almeida Santos,Liquidado,971B7D342E7C,31289,Nobel,,31289
2023-01-30,Quebra no Trajeto Volta,0D9CF7BFAF4C,1,2024-01-03,07:52:41,2023-12-26,18:15:00,95916.0,Noite,"Ocorrência de Manutenção
Carro cortou a aceleração",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,CD310281FBC3,15428,Leblon,,15428
2023-01-19,Quebra no Trajeto Volta,2939DFA826F9,1,2023-06-13,13:55:01,2023-06-01,15:05:00,95739.0,Tarde,"Ocorrência de Manutenção.
Caiu o elevador no terminal do Pinheirinho",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,1A96813857A6,15429,Leblon,,15429
2023-01-10,Quebra no Trajeto Volta,4A17D94D3CDB,2,2023-04-26,09:21:49,2023-04-01,06:30:00,55813.0,Manhã,"Ocorrência de Manutenção  

Eixo Trazeiro quebou no trajeto de volta no momento da quebra avia 65 Passageiros",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,01579B4AE7D4,31260,Nobel,,31260
2023-01-14,Quebra no Trajeto Volta,430B4A044F3B,2,2023-01-28,08:43:25,2023-01-14,15:11:00,55876.0,Tarde,"Ocorrência de Manutenção.
Estoureou mangueira de Ar.",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,C5FC89FA4F2C,31283,Nobel,,31283
2023-01-24,Quebra no Trajeto Volta,78E06646C82C,1,2023-02-22,09:51:16,2023-01-24,17:54:00,95810.0,Tarde,Vazamento de oleo na helice.,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,E49F7B4CD481,15R93,Leblon,,15R93
2023-01-13,Quebra no Trajeto Volta,866B5BC4CB8F,1,2023-06-13,13:54:15,2023-06-01,19:50:00,95648.0,Noite,Barulho na roda dianteira direita,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,1A7F55902EFA,15294,Leblon,,15294
2023-01-04,Quebra no Trajeto Volta,BBE2C7068EB8,2,2023-01-28,08:43:01,2023-01-04,18:00:00,55770.0,Noite,Câmbio ficou neutro,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,7ABDD91CE030,31254,Nobel,,31254
2023-01-19,Quebra no Trajeto Ida,A57128A6147E,2,2023-01-24,08:13:15,2023-01-19,18:00:00,55925.0,Noite,Vazou óleo do elevador,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,84F8EFC0B1FD,31048,Nobel,,31048
2023-01-27,Quebra no Trajeto Ida,CE0E5A4FBC40,1,2024-01-03,07:52:00,2023-12-26,05:10:00,95852.0,Manhã,"Ocorrência de Manutenção
 Veiculo apagou e não pega na partida",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,64BD7CBDB695,15420,Leblon,,15420
2023-01-16,Quebra no Trajeto Ida,EE40CBAAD7BB,1,2023-06-13,13:54:27,2023-06-01,16:20:00,95674.0,Tarde,Limpador do parabrisa não funciona dos dois lados,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,FD389182B544,15425,Leblon,,15425
2023-01-17,Quebra no Trajeto Ida,F2EF1AFC082A,1,2023-06-13,13:54:42,2023-06-01,17:40:00,95714.0,Tarde,Mangueira d'agua furou,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,35D610DB67E5,15297,Leblon,,15297
2023-01-09,na Garagem por falha mecânica,3758D2DECE28,2,2023-01-25,11:06:50,2023-01-09,18:14:00,55810.0,Noite,Carro sem partida.,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,224AB31492B9,31286,Nobel,,31286
2023-01-14,no Terminal - pneu,6131142B65E0,1,2023-01-25,15:07:18,2023-01-14,17:59:00,95658.0,Tarde,"Ocorrência de Manutenção.
Pneu vazando, terceiro eixo L.E externo.",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,FB87A71AFC91,15R03,Leblon,,15R03
2023-01-18,no Terminal - pneu,8FA829C3E713,2,2023-01-25,11:06:16,2023-01-18,19:00:00,55916.0,Noite,Pneu traseiro esquerdo interno furado,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,7F9F609B6DF3,31042,Nobel,,31042
2023-01-24,Quebra no Trajeto Ida,F43B0BB07946,2,2023-01-24,10:20:29,2023-01-24,05:40:00,55966.0,Manhã,"Ocorrência de Manutenção

Barulho na roda traseira",Ocorrência de Manutenção,Edilson Viana,Liquidado,04B7F8CFC526,31285,Nobel,,31285
2023-01-24,Quebra no Trajeto Ida,2595469C0E5B,2,2023-01-28,08:43:53,2023-01-24,10:32:00,55971.0,Manhã,"Ocorrência de Manutenção

Veículo baixou o ar e não carrega",Ocorrência de Manutenção,Edilson Viana,Liquidado,971B7D342E7C,31289,Nobel,,31289
2023-01-23,na Garagem por falha mecânica,CDFDA57F3B45,2,2023-01-25,11:07:57,2023-01-23,04:26:00,55957.0,Noite,"Ocorrência de Manutenção

Veículo sem partida",Ocorrência de Manutenção,Edilson Viana,Liquidado,E58FCD734FC3,31290,Nobel,,31290
2023-01-20,no Terminal - por falha mecânica,604BA7F0FB63,1,2023-01-28,08:39:03,2023-01-20,11:44:00,95750.0,Manhã,"Ocorrência de Manutenção,
Rampa da porta 3 enroscando para abrir",Ocorrência de Manutenção,Edilson Viana,Liquidado,44085A28ABF6,15R01,Leblon,,15R01
2023-01-31,no Terminal - por falha mecânica,E73220BE5254,1,2023-06-13,13:59:21,2023-06-01,07:24:00,95925.0,Manhã,"Ocorrência de Manutenção

Veículo ruim de partida",Ocorrência de Manutenção,Edilson Viana,Liquidado,C2BC262AA70C,15004,Leblon,,15004
2023-01-24,no Terminal - por falha mecânica,19E6D3928B93,2,2023-01-28,08:42:39,2023-01-24,09:12:00,55969.0,Manhã,"Ocorrência de Manutenção

Porta 1 só abre uma folha",Ocorrência de Manutenção,Edilson Viana,Liquidado,148ED3832BE7,31270,Nobel,,31270
2023-01-21,no Terminal - por falha mecânica,7C2AA6204E2A,2,2023-01-25,11:07:49,2023-01-21,05:15:00,55935.0,Manhã,"Ocorrência de Manutenção
Veiculo cortando aceleração",Ocorrência de Manutenção,Edilson Viana,Liquidado,99C8A38951DA,31263,Nobel,,31263
2023-01-20,no Terminal - por falha mecânica,7C3BEC2C0D14,2,2023-01-25,11:07:42,2023-01-20,10:00:00,55927.0,Manhã,"Ocorrência de Manutenção
Campainha as vezes não aciona",Ocorrência de Manutenção,Edilson Viana,Liquidado,F99C866B07C8,31251,Nobel,,31251
2023-01-24,no Terminal - por falha mecânica,7D6BF53C3545,2,2023-03-03,07:57:50,2023-01-24,09:54:00,55970.0,Manhã,"Ocorrência de Manutenção

Sensor do elevador acionando sozinho",Ocorrência de Manutenção,Edilson Viana,Liquidado,C5FE9AD5A31F,31294,Nobel,,31294
2023-01-25,no Terminal - por falha mecânica,A1937CB67AE6,2,2023-03-03,07:57:46,2023-01-25,05:40:00,55987.0,Manhã,"Ocorrência de Manutenção
Vazamento de oleo no motor",Ocorrência de Manutenção,Edilson Viana,Liquidado,224AB31492B9,31286,Nobel,,31286
2023-01-30,no Terminal - por falha mecânica,C34AD34ABC61,2,2023-04-03,07:59:14,2023-03-01,05:00:00,56046.0,Manhã,"Ocorrência de Manutenção
Vazamento no cubo trazeiro da roda lado direito vazando",Ocorrência de Manutenção,Edilson Viana,Liquidado,36B2FAABEF43,31256,Nobel,,31256
2023-01-14,no Terminal - por falha mecânica,DB5EF4D40A37,2,2023-01-25,11:06:35,2023-01-14,09:05:00,55873.0,Manhã,Vaamento de ar quando fica  parado no ponto com o pe no freio,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,148ED3832BE7,31270,Nobel,,31270
2023-01-11,no Terminal - por falha mecânica,DE7A6BC79BF2,2,2023-01-25,11:06:41,2023-01-11,11:36:00,55848.0,Manhã,"Ocorrência de Manutenção
Quarta Marcha escapando",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,7ABDD91CE030,31254,Nobel,,31254
2023-01-27,no Terminal - por falha mecânica,63CC1F99BDCF,2,2023-04-03,07:59:48,2023-03-01,16:55:00,56012.0,Tarde,"Ocorrência de Manutenção
Carro não engatando marcha",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,C5FE9AD5A31F,31294,Nobel,,31294
2023-01-26,no Terminal - por falha mecânica,646AC06C5CA4,2,2023-04-26,09:23:05,2023-04-01,13:45:00,55996.0,Tarde,Vazamento de Oleo no Cubo da roda trazeira Ld. Esquerdo,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,514B808FE9DA,31053,Nobel,,31053
2023-01-24,no Terminal - por falha mecânica,61E327E64ED4,2,2023-04-03,08:01:23,2023-03-01,18:40:00,55984.0,Noite,Ruim para engatar as marchas,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,79BC092B18D4,31268,Nobel,,31268
2023-01-27,no Terminal - por falha mecânica,A30A5029F50F,1,2023-06-13,13:58:45,2023-06-01,19:32:00,95894.0,Noite,"Ocorrência de Manutenção
Carro fraco não desenvolve",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,4E7BDB26C3FB,15424,Leblon,,15424
2023-01-23,no Terminal - por falha mecânica,AAD888C69A40,1,2024-01-03,07:51:27,2023-12-26,18:10:00,95783.0,Noite,A luz de arrefecimento acendeu o stop e carro aumentou a temperatura + executado,Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,70782518C026,15426,Leblon,,15426
2023-01-11,no Terminal - por falha mecânica,E2D1DF040D80,2,2023-01-25,11:06:40,2023-01-11,16:50:00,55851.0,Tarde,"Carro fraco, não desenvolve.",Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,F128BD70A39E,31269,Nobel,,31269
2023-01-22,no Terminal - por falha mecânica,1896961F30D1,1,2023-01-28,08:39:36,2023-01-22,21:28:00,95775.0,Noite,Ultima porta não fecha.,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,70782518C026,15426,Leblon,,15426
2023-01-12,no Terminal - por falha mecânica,58481220D290,2,2023-01-25,11:06:37,2023-01-12,21:00:00,55862.0,Noite,Campainha aciona mas não arma a luz.,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,24B6EF640108,31266,Nobel,,31266
2023-01-11,no Terminal - por falha mecânica,6EFD8135C307,1,2023-01-25,15:06:41,2023-01-11,19:57:00,95620.0,Noite,Porta 01 lado direito não abre,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,7502B8F98EFC,15R04,Leblon,,15R04
2023-01-12,no Terminal - por falha mecânica,E74AEF228B4A,2,2023-01-25,11:06:38,2023-01-12,21:00:00,55861.0,Noite,Carro ruim de freio.,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,3025E118F383,31265,Nobel,,31265
2023-01-08,no Terminal - por falha mecânica,E643B37824B2,2,2023-01-25,11:06:52,2023-01-08,21:40:00,55804.0,Noite,Embreagem patinando,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,C5FE9AD5A31F,31294,Nobel,,31294
2023-01-15,no Terminal - por falha mecânica,FF107265FE0D,1,2023-01-25,15:07:13,2023-01-15,14:30:00,95661.0,Tarde,Limpador lado esquerdo não funciona. Velocímetro não funciona,Ocorrência de Manutenção,Anderson Taborda,Liquidado,70782518C026,15426,Leblon,,15426
2023-01-04,no Terminal - por falha mecânica,02892587FF28,1,2023-01-25,15:06:27,2023-01-04,21:10:00,95576.0,Noite,Carro sem partida,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,20FBAA65C429,15427,Leblon,,15427
2023-01-13,no Terminal - por falha mecânica,1605348B78A9,1,2023-01-25,15:00:36,2023-01-13,20:55:00,95650.0,Noite,Porta 1 lado direito não abre.,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,28E7F753B7ED,15R94,Leblon,,15R94
2023-01-16,no Terminal - por falha mecânica,37BE73FE960C,1,2023-01-25,15:07:22,2023-01-16,19:45:00,95677.0,Noite,Infiltração em cima do motorista,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,86D0A912106A,15R10,Leblon,,15R10
2023-01-03,no Terminal - por falha mecânica,4A311882BA09,1,2023-01-25,15:06:18,2023-01-03,21:28:00,95563.0,Noite,Limpador lado esquerdo parou de funciona,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,7502B8F98EFC,15R04,Leblon,,15R04
2023-01-14,no Terminal - por falha mecânica,569AD0A8B9DE,1,2023-01-25,15:00:35,2023-01-14,16:09:00,95656.0,Tarde,"Ocorrência de Manutenção.
Ao motorista desligar o carro não pegou mais",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,20FBAA65C429,15427,Leblon,,15427
2023-01-14,no Terminal - por falha mecânica,561C4B386B60,1,2023-01-25,15:00:34,2023-01-14,18:22:00,95657.0,Noite,"Ocorrência de manutenção.
Vazamento de ar na porta 2º.",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,9639CB714242,15R06,Leblon,,15R06
2023-01-20,no Terminal - por falha mecânica,5C2A90B19F37,1,2023-01-28,08:39:01,2023-01-20,16:27:00,95753.0,Tarde,Vidro móvel lateral esquerdo estourou sozinho,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,FB87A71AFC91,15R03,Leblon,,15R03
2023-01-20,no Terminal - por falha mecânica,74B39BCBEDC3,1,2023-01-28,08:38:59,2023-01-20,22:15:00,95760.0,Noite,Freio trepidando e alongando a freagem.,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,4E7BDB26C3FB,15424,Leblon,,15424
2023-01-19,no Terminal - por falha mecânica,7C260EC349CC,1,2023-06-13,13:55:18,2023-06-01,19:00:00,95744.0,Noite,Cortando aceleração,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,2F5F8BE8F980,15599,Leblon,,15599
2023-01-16,no Terminal - por falha mecânica,B0FC39130048,1,2023-01-25,15:07:19,2023-01-16,15:38:00,95670.0,Tarde,"Ocorrência de Manutenção.
Carro cortando aceleração, motorista quebrou o anjo da guarda",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,28E7F753B7ED,15R94,Leblon,,15R94
2023-01-03,no Terminal - por falha mecânica,B4E12BC6256A,1,2023-01-25,15:06:15,2023-01-03,16:20:00,95558.0,Tarde,Tacografo não está registrando e luz está acesa.,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,70782518C026,15426,Leblon,,15426
2023-01-10,no Terminal - por falha mecânica,BF4B6FB5C68D,1,2023-01-25,15:06:39,2023-01-10,16:27:00,95601.0,Tarde,"Ocorrência de Manutenção.
Carro com infiltração.",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,8D164FCD0E1C,15R11,Leblon,,15R11
2023-01-18,no Terminal - por falha mecânica,D8E77AA4DA68,1,2023-01-25,15:07:44,2023-01-18,16:06:00,95732.0,Tarde,"Ocorrência de Manutenção.
Limpador L.E não Funciona.",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,28E7F753B7ED,15R94,Leblon,,15R94
2023-01-20,no Terminal - por falha mecânica,011E37FFA643,2,2023-01-25,11:07:45,2023-01-20,17:20:00,55930.0,Tarde,Limpador lado esquerdo não funciona,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,7ABDD91CE030,31254,Nobel,,31254
2023-01-18,no Terminal - por falha mecânica,084AE024D37A,2,2023-04-26,09:22:47,2023-04-01,16:15:00,55914.0,Tarde,"Ocorrência de Manutenção.
Carro está estralando suspensão",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,C58032039C54,31262,Nobel,,31262
2023-01-19,no Terminal - por falha mecânica,16313F80EC9B,2,2023-01-25,11:06:14,2023-01-19,14:27:00,55923.0,Tarde,"Ocorrência de Manutenção.
Vazamento de Ar, porta 2º não fecha direito",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,C5FE9AD5A31F,31294,Nobel,,31294
2023-01-05,no Terminal - por falha mecânica,11D27BF5022F,2,2023-01-25,11:07:06,2023-01-05,22:50:00,55775.0,Noite,"Acendendo e apagango o farol, só o intinerario fica ligado.",Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,A96D39767527,31261,Nobel,,31261
2023-01-16,no Terminal - por falha mecânica,3A35F3EC7B7F,2,2023-01-25,11:06:25,2023-01-16,18:00:00,55902.0,Noite,Campainha dos passageiros não funciona,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,4D3253744A27,31252,Nobel,,31252
2023-01-17,no Terminal - por falha mecânica,46DC9A745FBF,2,2023-01-25,11:06:24,2023-01-17,16:30:00,55907.0,Tarde,Vazamento de oleo na roda direita.,Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,971B7D342E7C,31289,Nobel,,31289
2023-01-16,no Terminal - por falha mecânica,46136D2F20BE,2,2023-01-25,11:06:28,2023-01-16,15:04:00,55898.0,Tarde,"Ocorrência de Manutenção.
Motorista relata que o carro está sem embreagem",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,1C0E07014E00,31293,Nobel,,31293
2023-01-05,no Terminal - por falha mecânica,6AA787E92E21,2,2023-01-25,11:07:07,2023-01-05,18:50:00,55774.0,Noite,Porta 02 enroscando,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,2538C0467DA7,31295,Nobel,,31295
2023-01-16,no Terminal - por falha mecânica,7A44D2D8D8AF,2,2023-04-26,09:22:03,2023-04-01,15:19:00,55899.0,Tarde,"Ocorrência de Manutenção.
Motorista realata que cambio está estralando e escapando marcha",Ocorrência de Manutenção,Pedro Henrique de Oliveira,Liquidado,3025E118F383,31265,Nobel,,31265
2023-01-03,no Terminal - por falha mecânica,A863DE4AEDA2,2,2023-01-25,11:07:17,2023-01-03,20:30:00,55763.0,Noite,Limpador do para brisa esquerdo não funciona e o farol apagou.,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Liquidado,4D3253744A27,31252,Nobel,,31252
2023-01-23,Quebra no Trajeto Volta,2B5338CE3A46,2,2023-03-03,07:57:55,2023-01-23,00:08:00,55964.0,Noite,Carro deu estouro baixou o ar e travou.,Ocorrência de Manutenção,Tiago Jose Tedeski,Cancelado,D1C210E4C7CD,31045,Nobel,,31045
2023-01-12,no Terminal - por falha mecânica,87B9F0844918,1,2023-01-28,08:39:14,2023-01-12,18:19:00,95635.0,Noite,Porta 01 lado esquerdo abriu sozinha,Ocorrência de Manutenção,Tiago Jose Tedeski,Cancelado,7502B8F98EFC,15R04,Leblon,,15R04
2023-01-24,Quebra no Trajeto Ida,96CB704CD0C1,2,2023-01-24,16:47:42,2023-01-24,09:16:00,55972.0,Manhã,Ocorrência de Manutenção,Ocorrência de Manutenção,Edilson Viana,Cancelado,C5FE9AD5A31F,31294,Nobel,,31294
2023-01-03,no Terminal - por falha mecânica,B747F2C5211D,2,2023-01-03,15:59:59,2023-01-03,15:50:00,55758.0,Tarde,Portas traseiras não abrem,Ocorrência de Manutenção,Valter Bueno De Souza Junior,Cancelado,148ED3832BE7,31270,Nobel,,31270
2023-01-06,no Terminal - pneu,1AA28A414DBA,2,2023-01-25,11:06:59,2023-01-06,20:40:00,55785.0,Noite,Pneus lado esquerdo interno traseiro estourou.,Ocorrência de Manutenção,Tiago Jose Tedeski,Liquidado,C58032039C54,31262,Nobel,20:07:00,31262
2023-01-27,na Garagem - Pneu,568CA22583C6,1,2023-02-22,09:51:31,2023-01-27,05:20:00,95851.0,Manhã,"Ocorrência de Manutenção
Pneu lado direito dianteiro furado",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,E49F7B4CD481,15R93,Leblon,05:20:00,15R93
2023-01-25,na Garagem por falha mecânica,52A0AAC79753,1,2023-02-22,09:51:15,2023-01-25,15:53:00,95820.0,Tarde,"Ocorrência de Manutenção
Vazamento de ar da mangueira porta um lado esquerdo",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,2829B4E967E3,15R97,Leblon,15:53:00,15R97
2023-01-27,no Terminal - pneu,6429D51AD6ED,2,2023-03-03,07:57:39,2023-01-27,15:20:00,56008.0,Tarde,"Ocorrência de Manutenção
Pneu traseiro lado esquerdo de fora furado",Ocorrência de Manutenção,Ilson Antonio Ferreira Cordeiro,Liquidado,148ED3832BE7,31270,Nobel,13:02:00,31270
2023-01-30,na Garagem por falha mecânica,3CFC622D1E64,1,2023-02-22,09:51:57,2023-01-30,05:10:00,95906.0,Manhã,"Ocorrência de Manutenção
Veiculo sem partida",Ocorrência de Manutenção,Edilson Viana,Liquidado,505827AD3115,15014,Leblon,05:10:00,15014
2023-01-30,na Garagem por falha mecânica,95D35FA970DF,1,2023-02-22,09:51:55,2023-01-30,04:43:00,95904.0,Noite,Luz de freio do ABS acesa no painel direto,Ocorrência de Manutenção,Edilson Viana,Liquidado,C201F94B25DF,15416,Leblon,04:43:00,15416
