Data,Empresa,ICMQ,IDF,QETG,QETT,KMFALHAS,IMP,OEMPP,OEMCP,CDTDM,TOPP,TO,IAVLIT,PCV,IOALO,INDOA
2024-05-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-06-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-07-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-08-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-09-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-10-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-11-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-12-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-01-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-02-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-03-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-04-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-05-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-06-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-07-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-08-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-09-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-10-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-11-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2025-12-01,Nobel,0.726,0.992,18000.0,3000.0,27000.0,0.75,30.0,20.0,6000.0,40,360000.0,1,0.8,1,0.75
2024-01-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-02-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-03-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-04-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-05-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-06-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-07-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-08-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-09-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-10-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-11-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2024-12-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-01-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-02-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-03-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-04-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-05-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-06-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-07-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-08-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-09-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-10-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-11-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
2025-12-01,São Bento,,,,,,,,,,9,,1,0.8,1,0.75
